,eye_lashes,eye_lid,chin_length,eyebrow_weight,eyebrow_shape,eyebrow_thickness,face_shape,facial_hair,hair,eye_color,face_color,hair_color,glasses,glasses_color,eye_slant,eyebrow_width,eye_eyebrow_distance,image_name
0,1,0,2,1,8,1,4,7,84,4,10,9,0,3,1,2,1,cs10000053986926948907.png
1,0,0,0,1,4,1,2,12,77,4,3,2,1,4,0,1,1,cs10000354665834323549.png
2,0,0,0,0,9,1,3,14,40,0,8,6,10,0,0,1,2,cs10000417372154603123.png
3,1,0,0,1,12,3,6,14,29,4,3,7,3,1,2,0,2,cs10000524080030775394.png
4,0,1,1,0,10,2,6,3,78,2,10,0,10,0,0,1,1,cs10000592242416795426.png
5,1,1,1,1,13,0,4,14,3,3,4,1,5,0,1,1,2,cs10000811708184140319.png
6,1,0,2,1,5,3,3,1,76,2,0,2,11,2,0,0,0,cs10000849938093558363.png
7,0,1,1,1,5,2,4,2,101,2,1,6,11,6,2,1,1,cs10000898984263089511.png
8,1,0,0,1,13,2,6,14,79,2,4,6,11,0,2,0,0,cs10000929944185699864.png
9,1,1,2,0,0,1,3,14,3,4,3,0,0,6,0,0,1,cs10000972928333981659.png
10,1,0,1,1,3,3,2,2,25,4,2,7,11,0,0,1,1,cs10000983636605150156.png
11,0,1,2,1,7,0,4,1,104,4,9,1,1,3,1,0,0,cs10001052814735369802.png
12,1,0,0,1,3,0,1,10,20,1,0,6,1,0,0,1,0,cs10001090780438292563.png
13,1,1,0,1,3,0,5,2,106,3,0,5,9,6,1,2,1,cs10001377950269226539.png
14,1,0,2,1,1,1,5,14,36,0,7,9,11,4,2,1,0,cs10001479193453098026.png
15,0,1,1,1,10,0,1,13,63,3,8,0,11,5,0,1,2,cs1000153765975572825.png
16,1,1,2,1,10,0,3,14,70,0,9,2,11,0,1,2,2,cs10001691874423045519.png
17,1,0,0,0,2,0,3,14,40,3,1,6,8,0,2,0,1,cs10001780933605954465.png
18,0,1,1,0,2,0,5,0,23,4,9,4,11,5,1,2,0,cs1000182539842583649.png
19,0,0,1,0,13,1,5,12,45,1,10,7,11,1,1,0,0,cs10002054988670102311.png
20,1,1,1,1,1,1,2,6,39,2,8,9,8,4,1,0,1,cs10002060197048039955.png
21,1,1,2,1,3,2,6,12,52,3,9,9,11,2,0,1,1,cs10002074130831966240.png
22,1,0,0,0,13,2,5,12,3,1,6,7,8,4,0,2,2,cs10002223281283887553.png
23,0,0,2,1,7,3,5,2,22,4,8,1,11,1,2,2,2,cs10002254186435419367.png
24,1,1,2,0,9,3,0,14,77,0,8,6,1,1,1,0,2,cs10002280131574610864.png
25,1,0,1,1,8,0,2,14,95,1,3,3,9,2,0,2,0,cs10002397183263905210.png
26,1,1,0,0,13,1,2,10,94,0,4,9,10,4,2,2,1,cs10002580278779611648.png
27,0,0,0,0,13,1,5,14,50,0,5,1,11,1,0,1,1,cs10002666825577271487.png
28,0,0,0,0,4,2,5,6,8,0,0,9,6,4,2,0,1,cs10002930376453395152.png
29,1,1,0,0,2,1,1,4,83,3,4,5,3,3,1,0,0,cs10003124970277287666.png
30,0,0,1,0,2,2,3,14,34,0,5,0,11,2,0,1,0,cs10003571127927331234.png
31,0,0,0,1,8,2,1,14,60,1,1,8,10,0,1,2,0,cs10003853515944172307.png
32,1,0,2,0,4,2,6,14,39,1,9,5,11,5,0,0,0,cs10003933009404298309.png
33,0,0,0,0,0,0,3,14,13,1,6,0,10,2,0,1,2,cs10004373889137252845.png
34,1,0,1,1,1,0,0,4,41,1,3,8,11,3,2,2,2,cs10004505777887826464.png
35,0,0,2,1,4,2,6,9,7,1,2,0,5,0,1,1,1,cs1000460930586783436.png
36,1,0,1,1,1,1,1,14,18,1,0,9,10,4,1,0,2,cs10004844923104405546.png
37,1,0,2,1,0,0,4,0,23,3,5,5,11,5,1,0,1,cs10004916913223214694.png
38,1,0,1,0,2,1,3,9,104,4,3,4,0,0,1,2,2,cs10004957746599495783.png
39,0,0,1,0,8,3,1,14,74,1,4,5,11,5,2,1,1,cs10004964341334397178.png
40,0,1,2,1,3,1,3,14,98,3,0,5,0,2,2,0,0,cs10005048055020896604.png
41,0,1,1,0,7,2,1,11,85,2,8,3,4,3,1,1,0,cs10005067115145416813.png
42,1,1,2,0,3,0,3,12,17,2,0,6,11,2,0,1,2,cs10005095270727741472.png
43,1,1,1,0,10,2,0,6,67,2,7,9,11,4,0,1,1,cs10005157181423727889.png
44,0,1,0,1,10,2,2,14,40,1,8,1,4,5,0,2,2,cs10005507928318383358.png
45,0,1,0,0,10,0,5,14,71,4,7,7,4,4,2,1,1,cs10005584227532028304.png
46,0,1,1,0,12,2,2,6,28,1,6,9,6,3,0,1,0,cs10005617178179455458.png
47,1,0,2,1,7,0,3,14,90,4,9,6,5,4,2,2,1,cs10005648569080746300.png
48,0,1,1,0,11,3,3,8,45,4,4,1,10,6,0,1,0,cs10005725292345246680.png
49,1,0,0,1,13,1,3,9,46,0,7,8,11,1,2,1,2,cs10006429676694065727.png
50,1,0,1,0,2,0,6,7,20,0,8,8,11,0,0,0,2,cs10006498490911586888.png
51,1,0,1,1,6,3,2,5,105,1,2,8,11,6,1,0,2,cs10006539359894737993.png
52,1,0,0,1,0,1,3,14,71,4,6,9,0,3,0,2,2,cs10006738088178033432.png
53,1,0,2,1,8,3,6,0,83,4,8,8,9,5,2,1,0,cs10006840527407604160.png
54,0,1,2,0,1,3,4,4,48,0,4,5,9,2,2,1,1,cs10006967442611864643.png
55,1,1,0,0,5,0,4,14,12,1,5,6,6,3,2,0,0,cs10006980852852544756.png
56,0,1,2,1,8,3,6,5,89,4,4,3,11,5,1,0,2,cs10007045796666045181.png
57,1,0,2,1,12,3,6,13,49,3,10,1,2,3,1,2,2,cs10007165302718499699.png
58,0,1,1,0,13,2,4,14,108,4,2,2,4,3,1,2,0,cs10007374651284011276.png
59,1,0,1,1,10,0,4,14,29,0,4,1,6,6,2,0,2,cs1000741397756832804.png
60,1,0,2,1,4,3,0,13,64,4,7,3,6,1,0,1,2,cs10007811585457496636.png
61,0,1,2,1,9,2,5,14,19,0,0,6,11,6,0,1,2,cs10007996430328874996.png
62,0,0,1,1,3,2,6,7,36,0,6,3,11,6,1,2,2,cs10008031397311223485.png
63,1,1,2,1,11,0,1,14,79,1,3,6,11,3,0,0,1,cs10008272921083050394.png
64,0,1,1,0,3,2,4,14,49,4,8,7,2,1,0,0,1,cs1000841881589738540.png
65,0,0,2,1,13,1,4,13,57,4,9,7,5,5,0,0,0,cs10008647059128949673.png
66,0,0,0,0,7,1,2,14,54,3,8,0,11,1,1,0,2,cs10008779423114310112.png
